Transaction Date,Transaction Type,Full description,Merchant name,Category name,Sub-category name,Amount,Regular occurance
2026-01-20,Debit,PII,PII,Entertainment,Patreon,-0.25,True
2026-01-19,POS,PII,PII,Food,Dining & Nicotine,-8.53,False
2026-01-18,POS,PII,PII,Food,Dining & Nicotine,-28.18,False
2026-01-18,POS,PII,PII,Food,Dining & Nicotine,-2.02,False
2026-01-17,POS,PII,PII,Entertainment,Patreon,-8.48,True
2026-01-17,POS,PII,PII,Food,Groceries,-111.02,False
2026-01-16,POS,PII,PII,Software & Tools,Writing Editor,-31.8,True
2026-01-16,ATM,PII,PII,Home,Laundry,-63.0,False
2026-01-16,FEE,PII,PII,Fees,ATM Fee,-3.0,False
2026-01-16,POS,PII,PII,Food,Dining & Nicotine,-9.08,False
2026-01-16,POS,PII,PII,Shopping,Supplies,-24.75,False
2026-01-15,POS,PII,PII,Shopping,Clothing,-20.21,False
2026-01-21,POS,PII,PII,Food,Dining & Nicotine,-3.19,False
2026-01-21,POS,PII,PII,Auto,Gas,-35.7,False
2026-01-23,Credit,PII,PII,Income,Part-time Job,973.16,True
2026-01-26,Debit,PII,PII,Utilities,Phone & internet,-85.78,True
2026-01-26,Debit,PII,PII,Auto,Car insurance,-81.0,True
2026-01-25,POS,PII,PII,Entertainment,Books & Learning,-24.99,True
2026-01-25,POS,PII,PII,Food,Groceries,-9.16,False
2026-01-24,POS,PII,PII,Shopping,Clothing,-132.67,False
2026-01-24,POS,PII,PII,Food,Dining & Nicotine,-20.49,False
2026-01-24,POS,PII,PII,Entertainment,Books & Learning,-15.99,True
2026-01-24,POS,PII,PII,Food,Dining & Nicotine,-13.22,False
2026-01-24,POS,PII,PII,Shopping,Clothing,-23.52,False
2026-01-24,POS,PII,PII,Shopping,Clothing,-3.24,False
2026-01-24,POS,PII,PII,Food,Dining & Nicotine,-5.13,False
2026-01-23,POS,PII,PII,Auto,Gas,-20.83,False
2026-01-23,POS,PII,PII,Food,Dining & Nicotine,-13.83,False
2026-01-23,POS,PII,PII,Food,Dining & Nicotine,-14.31,False
2026-01-23,POS,PII,PII,Food,Groceries,-187.17,False
2026-01-22,POS,PII,PII,Shopping,Other Shopping,-11.73,False
2026-01-22,POS,PII,PII,Fees,Parking,-5.45,False
2026-01-25,POS,PII,PII,Food,Dining & Nicotine,-12.72,False
2026-01-27,POS,PII,PII,Entertainment,Patreon,-4.88,True
2026-01-27,POS,PII,PII,Food,Dining & Nicotine,-10.23,False
2026-01-27,POS,PII,PII,Food,Dining & Nicotine,-15.49,False
2026-01-28,POS,PII,PII,Food,Dining & Nicotine,-18.5,False
2026-01-30,Debit,PII,PII,Transfers & Payments,Truist Transfer,-10.0,True
2026-01-29,POS,PII,PII,Food,Dining & Nicotine,-18.5,False
2026-01-29,POS,PII,PII,Food,Dining & Nicotine,-9.91,False
2026-02-01,POS,PII,PII,Food,Dining & Nicotine,-6.59,False
2026-02-01,POS,PII,PII,Entertainment,Patreon,-7.3,True
2026-01-31,POS,PII,PII,Food,Dining & Nicotine,-34.0,False
2026-01-31,POS,PII,PII,Food,Dining & Nicotine,-4.77,False
2026-01-30,POS,PII,PII,Food,Dining & Nicotine,-19.24,False
2026-02-02,POS,PII,PII,Food,Dining & Nicotine,-18.75,False
2026-02-04,POS,PII,PII,Food,Dining & Nicotine,-3.18,False
2026-02-04,Debit,PII,PII,Insurance,Medical insurance,-57.88,True
2026-02-03,POS,PII,PII,Shopping,Supplies,-25.6,False
2026-02-03,POS,PII,PII,Shopping,Gifts,-24.95,False
2026-02-06,POS,PII,PII,Food,Dining & Nicotine,-14.59,False
2026-02-05,POS,PII,PII,Entertainment,Patreon,-5.3,True
2026-02-04,POS,PII,PII,Food,Dining & Nicotine,-7.55,False
2026-02-06,Credit,PII,PII,Income,Part-time Job,3382.05,True
2026-02-07,POS,PII,PII,Food,Groceries,-26.04,False
2026-02-07,POS,PII,PII,Food,Dining & Nicotine,-33.43,False
2026-02-07,POS,PII,PII,Auto,Gas,-31.61,False
2026-02-07,POS,PII,PII,Food,Dining & Nicotine,-22.75,False
2026-02-06,POS,PII,PII,Shopping,Gifts,-84.75,False
2026-02-06,POS,PII,PII,Lodging,Hotel,-2.26,False
2026-02-06,POS,PII,PII,Food,Dining & Nicotine,-29.0,False
2026-02-06,POS,PII,PII,Lodging,Hotel,-114.31,False
2026-02-08,POS,PII,PII,Shopping,Other Shopping,-10.0,False
2026-02-08,POS,PII,PII,Food,Dining & Nicotine,-13.33,False
2026-02-08,POS,PII,PII,Auto,Car Wash,-12.0,False
2026-02-11,Debit,PII,PII,Loans,Student loans,-50.0,True
2026-02-11,Debit,PII,PII,Auto,Loan,-50.0,False
2026-02-10,POS,PII,PII,Home,Pet Care,-210.34,False
2026-02-09,POS,PII,PII,Shopping,Clothing,-64.04,False
2026-02-11,POS,PII,PII,Entertainment,Games,-1.99,False
2026-02-10,POS,PII,PII,Food,Groceries,-157.51,False
2026-02-10,POS,PII,PII,Food,Groceries,-13.87,False
2026-02-13,Debit,PII,PII,Entertainment,Patreon,-0.05,True
2026-02-12,POS,PII,PII,Entertainment,Patreon,-1.52,True
2026-02-12,POS,PII,PII,Entertainment,Games,-9.99,False
2026-02-12,POS,PII,PII,Entertainment,Games,-19.99,False
2026-02-12,POS,PII,PII,Entertainment,Games,-0.99,False
2026-02-11,POS,PII,PII,Shopping,Clothing,-593.54,False
2026-02-17,Debit,PII,PII,Insurance,Life Insurance,-16.65,True
2026-02-16,POS,PII,PII,Software & Tools,Writing Editor,-31.8,True
2026-02-16,POS,PII,PII,Food,Dining & Nicotine,-8.92,False
2026-02-15,POS,PII,PII,Food,Dining & Nicotine,-12.76,False
2026-02-14,POS,PII,PII,Food,Dining & Nicotine,-57.0,False
2026-02-13,POS,PII,PII,Food,Dining & Nicotine,-34.99,False
2026-02-13,POS,PII,PII,Food,Groceries,-37.51,False
2026-02-18,Debit,PII,PII,Entertainment,Patreon,-0.25,True
2026-02-17,POS,PII,PII,Entertainment,Patreon,-8.48,True
2026-02-18,POS,PII,PII,Food,Dining & Nicotine,-20.18,False
2026-02-19,POS,PII,PII,Entertainment,Games,-3.99,False
2026-02-19,POS,PII,PII,Food,Dining & Nicotine,-26.52,False
2026-02-19,POS,PII,PII,Food,Dining & Nicotine,-16.0,False
2026-02-19,POS,PII,PII,Shopping,Return Shipping,-2.93,False
2026-02-19,POS,PII,PII,Home,Tax Services,-445.0,False
2026-02-19,POS,PII,PII,Shopping,Supplies,-143.69,False
2026-02-22,POS,PII,PII,Entertainment,Books & Learning,-23.62,True
